STATIONNAME,LONGITUDE,LATITUDE,ELEVATION_METER,COUNTRY,CROP,YA,YW,YW-YA,YP,YP-YA,WPP,WPA,CROPPING_INTENSITY,YW_CV_TEMPORAL,YP_CV_TEMPORAL,YA_CV_TEMPORAL,CLIMATEZONE,AREA_IN_CLIMATEZONE_HA,MIN_N_INPUT_TARGET_30_PERC,MIN_N_INPUT_TARGET_50_PERC,MIN_N_INPUT_TARGET_80_PERC,nitrogen,phosphorus,potassium,ph,bulk_density,cation_exchange
nig_rfmz1,7.58368259,4.704867512,27.0,Nigeria,Rainfed maize,1.638544444,10.50257576,8.864031313,13.095,11.45645556,26.16378549,4.081905843,1.0,0.406333923,0.05025791,0.160009784,9901,95004,63.65197429,106.0866238,177.7822173,1.7,59.3,17.2,5.3,1.33,10.0
nig_rfmz2,7.266144284,8.203596328,88.0,Nigeria,Rainfed maize,2.073422222,13.50895,11.43552778,15.82,13.74657778,28.2048787,4.329027961,1.0,0.321579517,0.035910197,0.2679188,9501,75834,81.87242424,136.4540404,228.672579,0.8,65.7,8.0,6.0,1.28,6.4
nig_rfmz3,5.896282385,4.704867512,20.0,Nigeria,Rainfed maize,1.756722222,6.2255,4.468777778,12.6,10.84327778,17.15163845,4.839878631,1.0,0.698321244,0.056414179,0.156165854,9901,87073,37.73030303,62.88383838,105.3820719,2.4,59.3,11.2,5.0,1.06,10.0
Arusha,36.633,-3.321,1387.0,Tanzania,Rainfed maize,0.944444444,4.425684211,3.481239766,11.3,10.35555556,12.32327799,2.629797085,1.0,0.35716727,0.074742534,0.729957102,6501,6684,26.82232855,44.70388091,74.91571309,1.4,600.8,17.2,6.7,1.15,19.1
DODOMA,35.7667,-6.1667,1120.0,Tanzania,Rainfed maize,1.725,3.835526316,2.110526316,14.76842105,13.04342105,9.628949989,4.330550064,1.0,0.786437644,0.052935474,0.727200437,7101,51136,23.24561404,38.74269006,64.92582284,0.5,147.4,8.0,6.2,1.53,10.0
KIA,37.0745,-3.4294,896.0,Tanzania,Rainfed maize,1.46,2.589894737,1.129894737,15.02631579,13.56631579,8.197898459,4.621396994,1.0,0.808775876,0.054239975,0.630732298,7201,34373,15.69633174,26.1605529,43.84041016,1.2,543.6,23.5,7.6,1.22,32.1
KIGOMA,29.76,-4.8833,885.0,Tanzania,Rainfed maize,1.844444444,12.77012228,10.92567783,15.61052632,13.76608187,23.00622147,3.322888886,1.0,0.268900921,0.064197797,0.556291951,7501,54890,77.39468046,128.9911341,216.1660821,1.0,108.9,9.0,5.8,1.32,12.5
Shinyanga,33.4333,-3.6667,1126.0,Tanzania,Rainfed maize,1.3,4.170453361,2.870453361,10.77368421,9.473684211,11.70273262,3.647937308,1.0,0.458258882,0.053664095,0.574353251,7201,107804,25.27547492,42.12579153,70.59529613,0.8,220.4,8.0,6.8,1.48,11.2
Singida,34.733,-4.817,1524.0,Tanzania,Rainfed maize,0.95,6.08,5.13,20.51578947,19.56578947,12.82520944,2.003938975,1.0,0.620948859,0.046872795,0.369172167,7201,96498,36.84848485,61.41414141,102.9191225,0.7,133.3,8.0,6.1,1.4,8.0
Solesia,31.95,-8.77,,Tanzania,Rainfed maize,2.088888889,13.01885,10.92996111,13.24,11.15111111,27.69855904,4.444264449,1.0,0.103490063,0.063163331,0.157769042,7401,57024,78.90212121,131.5035354,220.3764175,0.8,180.3,8.0,6.1,1.35,12.5
Sumbawanga,31.57,-8.0,,Tanzania,Rainfed maize,2.366666667,15.82625,13.45958333,16.345,13.97833333,29.19143502,4.365304239,1.0,0.106813236,0.059299537,0.275459257,6401,62700,95.91666667,159.8611111,267.8986452,0.8,120.5,8.0,5.9,1.34,10.0
tan_rfmz1,33.62356705,-2.689588813,1213.0,Tanzania,Rainfed maize,2.522222222,3.01595,0.493727778,8.395,5.872777778,9.174859462,7.672883974,1.0,0.680438517,0.063087851,0.425070186,7301,182002,18.27848485,30.46414141,51.0524552,0.8,243.7,7.2,6.9,1.45,9.0
tan_rfmz3,31.5156132,-2.629463008,1216.0,Tanzania,Rainfed maize,2.233333333,4.83295,2.599616667,6.22,3.986666667,14.81184713,6.844637731,1.0,0.234442411,0.062288457,1.204802153,7401,123436,29.29060606,48.81767677,81.80969955,0.9,108.9,6.4,6.0,1.44,13.9
tan_rfmz4,30.87034241,-4.735190291,1107.0,Tanzania,Rainfed maize,1.655555556,12.10540404,10.44984848,13.09,11.43444444,24.39155175,3.335829921,1.0,0.129942162,0.070274791,0.306675427,7401,53113,73.36608509,122.2768085,204.9140727,0.9,72.7,5.7,5.4,1.53,10.0
tan_rfmz5,32.28683039,-3.651871512,1193.0,Tanzania,Rainfed maize,1.222222222,7.47225,6.250027778,17.395,16.17277778,13.94330689,2.280681124,1.0,0.787410408,0.084169221,0.254748296,7301,196505,45.28636364,75.47727273,126.4864167,0.8,147.4,5.7,6.1,1.48,9.0
tan_rfmz6,31.90635846,-5.879807347,1105.0,Tanzania,Rainfed maize,1.816666667,12.6392,10.82253333,18.7,16.88333333,21.68157134,3.116351346,1.0,0.386012807,0.073322509,0.224048644,7301,40901,76.60121212,127.6686869,213.949897,0.8,89.0,7.2,5.4,1.52,7.2
tan_rfmz8,34.20616051,-1.908077887,1336.0,Tanzania,Rainfed maize,1.977777778,6.19055,4.212772222,18.38,16.40222222,13.25404961,4.234448438,1.0,0.74683582,0.065302673,0.601333577,7401,67496,37.51848485,62.53080808,104.7904562,0.8,220.4,19.1,6.5,1.43,10.0
tan_rfmz9,35.28818635,-8.717930779,1242.0,Tanzania,Rainfed maize,1.566666667,16.1717,14.60503333,17.13,15.56333333,27.8135893,2.694498614,1.0,0.136962233,0.060729333,0.272680971,7501,424,98.01030303,163.3505051,273.7462457,1.5,163.0,8.0,5.5,1.21,15.4
Arua,30.91666667,3.05,1211.0,Uganda,Rainfed maize,1.2,7.992575,6.792575,14.04,12.84,16.24450088,2.438938772,1.95,0.382527324,0.041088254,,7601,5230,48.43984848,80.73308081,135.2942115,1.0,120.5,8.0,5.9,1.35,9.0
Bulindi,31.44056,1.47639,1209.0,Uganda,Rainfed maize,1.65,5.656925,4.006925,10.635,8.985,12.186017,3.554391839,1.95,0.398225847,0.033974676,,7601,9533,34.28439394,57.14065657,95.75752586,2.3,163.0,10.0,5.8,1.26,17.2
Gulu,32.28333333,2.783333333,1105.0,Uganda,Rainfed maize,1.15,12.87903465,11.72903465,15.67,14.52,22.2507722,1.986825001,1.95,0.159252672,0.035340827,,7601,3859,78.05475548,130.0912591,218.009695,1.0,133.3,8.0,5.9,1.37,8.0
Kabale,30.01,-1.236,1869.0,Uganda,Rainfed maize,1.15,3.49825,2.34825,6.81,5.66,10.08401086,3.314975341,1.95,0.260193245,0.055641428,,6501,5475,21.20151515,35.33585859,59.2165823,2.6,98.5,12.5,5.3,1.03,11.2
Kitgum,32.8867,3.2783,953.0,Uganda,Rainfed maize,1.15,7.21,6.06,15.8775,14.7275,14.378092,2.293315644,1.95,0.333617099,0.041090826,,8401,14009,43.6969697,72.82828283,122.0471831,1.0,133.3,8.0,6.1,1.31,9.0
Lira,32.93333333,2.35,1091.0,Uganda,Rainfed maize,1.15,10.19318182,9.043181818,14.535,13.385,18.49408578,2.086512241,1.95,0.232266082,0.032617264,,8501,64084,61.7768595,102.9614325,172.5449554,1.3,133.3,11.2,6.0,1.33,9.0
Mbarara,30.68333333,-0.6,1402.0,Uganda,Rainfed maize,1.7,4.71395,3.01395,11.83,10.13,12.34410707,4.451676835,1.95,0.276401655,0.038940248,,7401,18911,28.56939394,47.61565657,79.79532856,1.5,133.3,17.2,5.8,1.35,10.0
Namulonge,32.615,0.525,1160.0,Uganda,Rainfed maize,1.6,7.75719697,6.15719697,13.0225,11.4225,16.88373936,3.482441284,1.95,0.276127429,0.04398004,,7501,171144,47.01331497,78.35552495,131.3098529,1.2,108.9,11.2,5.7,1.41,9.0
Soroti,33.61666667,1.716666667,1123.0,Uganda,Rainfed maize,0.75,9.054575,8.304575,16.0975,15.3475,17.17486931,1.422612545,1.95,0.318772763,0.036145184,,8501,36065,54.87621212,91.46035354,153.2712029,1.0,133.3,8.0,6.2,1.38,6.4
Tororo,34.16666667,0.683333333,1171.0,Uganda,Rainfed maize,1.2,11.3122,10.1122,15.1025,13.9025,21.23283419,2.252382474,1.95,0.22893696,0.021602559,,7601,87306,68.55878788,114.2646465,191.4871214,1.1,120.5,9.0,5.8,1.3,10.0
uga_rfmz1,31.67768142,1.877807089,1044.0,Uganda,Rainfed maize,1.6,4.183477633,2.583477633,13.8952381,12.2952381,9.856437995,3.769662987,1.952380952,0.701256558,0.048915197,,7501,104746,25.3544099,42.25734983,70.81576434,1.6,89.0,8.0,5.5,1.24,13.9
uga_rfmz3,32.1035848,2.418818597,986.0,Uganda,Rainfed maize,1.15,5.836,4.686,15.12857143,13.97857143,11.85607028,2.336271559,1.952380952,0.765397988,0.079564661,,8501,7408,35.36969697,58.94949495,98.78881564,1.6,98.5,11.2,5.8,1.25,12.5
uga_rfmz5,34.03833584,1.998022138,1071.0,Uganda,Rainfed maize,0.75,2.241510342,1.491510342,12.30714286,11.55714286,5.859510627,1.960567787,1.952380952,1.033194019,0.054631898,,8401,9176,13.58491116,22.6415186,37.94313775,1.2,147.4,7.2,6.1,1.35,10.0
Chipata,32.58972222,-13.56222222,1032.0,Zambia,Rainfed maize,2.985714286,14.08042105,11.09470677,16.72631579,13.7406015,24.48773143,5.192555627,1.0,0.286224946,0.062158372,0.421188538,7401,84184,85.33588517,142.2264753,238.346148,0.9,163.0,8.0,6.0,1.41,10.0
Choma,26.988,-16.81166667,1278.0,Zambia,Rainfed maize,3.085714286,9.279736842,6.194022556,13.37894737,10.29323308,19.62332541,6.525182404,1.0,0.420163819,0.065188137,0.589431431,7301,49218,56.24082935,93.73471558,157.0826272,0.7,80.5,9.0,6.1,1.52,7.2
Kabwe,28.45111111,-14.44388889,1207.0,Zambia,Rainfed maize,3.75,13.39831579,9.648315789,17.2,13.45,23.19206434,6.491132365,1.0,0.267802102,0.063304198,0.670548697,7301,87976,81.20191388,135.3365231,226.7998198,0.6,65.7,7.2,5.8,1.53,8.0
